Member ID,Customer Name,Fund ABN,Contribution,Contribution Date,Fund SPIN
98765493,Lauren Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765494,Logan Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765495,Luis Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765496,Luke Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765497,Madison Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765498,Marcus Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765499,Maria Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765500,Mary Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765501,Megan Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765502,Melanie Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765503,Melissa Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765504,Michelle Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765505,Miguel Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765506,Miranda Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765507,Morgan Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765508,Mya Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765509,Natalie Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765510,Nathan Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765511,Nicole Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
98765512,Noah Alexander,64 354 456 788,445.38,26/02/2019,SBS4599AU
