Account Number,Customer Name,Fund ABN,Contribution,Contribution Date,USI
54321082,Natalie Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321083,Nathan Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321084,Noah Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321085,Rebecca Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321086,Richard Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321087,Robert Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321088,Samuel Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321089,Sara Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321090,Savannah Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321091,Sean Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321092,Seth Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321093,Stephanie Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321094,Sydney Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321095,Thomas Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321096,Wyatt Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321097,Xavier Adams,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321098,Ronald Adina,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321099,Osarumwense Agbonile,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321100,Samuel Agcaoili,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321101,James Aguilar,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321102,Robert Ahlering,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321103,François Ajenstat,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321104,Kim Akers,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321105,Kim Akers,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321106,Kim Akers,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321107,Lili Alameda,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321108,Alisha Alan,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321109,Bob Alan,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321110,Cheryl Alan,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321111,Jamie Alan,64 354 456 785,445.38,26/02/2019,SBS4578AU
54321112,Kari Alan,64 354 456 785,445.38,26/02/2019,SBS4578AU
